BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
P47120,531.869312573,20|DOHH_YEAST Deoxyhypusine hydroxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LIA1 PE=1 SV=1,330,cytoplasm,0.47,False,2659.34656286,1170.11248766,0.0563215620085
P24276,125.593681287,76|SSD1_YEAST Protein SSD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSD1 PE=1 SV=1,1270,cytoplasm,0.21,False,627.968406436,1063.3598349,0.0511831875227
P28789,76.7282343549,89|HEM3_YEAST Porphobilinogen deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM3 PE=1 SV=1,332,chloroplast,0.25,False,383.641171774,169.825158705,0.00817427239474
P47123,13.041835584,23|MOG1_YEAST Nuclear import protein MOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOG1 PE=1 SV=1,221,nucleus,1.0,False,65.20917792,19.2149710938,0.000924883032496
P47124,49.8152195864,24|HOC1_YEAST Putative glycosyltransferase HOC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOC1 PE=1 SV=3,402,golgi apparatus membrane,1.0,False,249.076097932,133.504788492,0.00642604732687
P47125,3.0560183462,25|I23O_YEAST Indoleamine 2,3-dioxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA2 PE=1 SV=1,460,nucleus,0.34,False,15.280091731,9.371789595,0.000451096654699
P47126,0.46811205287,26|YJ49_YEAST Uncharacterized protein YJR079W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR079W PE=1 SV=1,110,cytoplasm,0.06,False,2.34056026435,0.343282172105,1.65233585202e-05
P47127,28.4507326219,27|AIM24_YEAST Altered inheritance of mitochondria protein 24, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM24 PE=1 SV=1,400,mitochondrion,1.0,False,142.253663109,75.868620325,0.003651819162
P47128,2.79998405147,28|EAF6_YEAST Chromatin modification-related protein EAF6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EAF6 PE=1 SV=1,114,nucleus,1.0,False,13.9999202573,2.12798787911,0.000102427418347
P47129,13.4728204572,29|ACF4_YEAST Assembly-complementing factor 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACF4 PE=1 SV=1,314,nucleus,0.8,False,67.364102286,28.2031041571,0.00135751297107
Q03964,131.915380902,64|YD17A_YEAST Transposon Ty1-DR2 Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1A-DR2 PE=3 SV=1,447,cytoplasm,0.74,False,659.576904511,393.107835089,0.0189216400504
Q05776,12.0171607769,76|UPS1_YEAST Protein UPS1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UPS1 PE=1 SV=1,177,mitochondrion,0.2,False,60.0858038843,14.1802497167,0.000682544475114
P24279,26.7835424878,79|MCM3_YEAST DNA replication licensing factor MCM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM3 PE=1 SV=1,987,nucleus,1.0,False,133.917712439,176.235709569,0.00848283438499
Q04772,14.6592268179,72|IRC21_YEAST Increased recombination centers protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRC21 PE=1 SV=1,204,mitochondrion,0.28,False,73.2961340894,19.9365484723,0.000959615048006
P29547,409.51655174,47|EF1G1_YEAST Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAM1 PE=1 SV=2,421,cytoplasm,0.54,False,2047.5827587,1149.37645522,0.0553234650312
Q08004,89.0919421517,04|BUD20_YEAST Bud site selection protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD20 PE=1 SV=1,168,nucleus,0.47,False,445.459710758,99.7829752099,0.00480289979377
Q08001,1.05653005147,01|YL072_YEAST Uncharacterized protein YLR072W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR072W PE=1 SV=1,704,secreted,0.18,False,5.28265025736,4.95864770824,0.000238676868526
P39677,11.654682282,77|RRF2M_YEAST Ribosome-releasing factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MEF2 PE=1 SV=1,832,mitochondrion,1.0,False,58.2734114099,64.6446377241,0.00311157005031
P53887,0.239124323404,87|YNR1_YEAST Putative uncharacterized protein YNL171C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL171C PE=5 SV=1,124,secreted,0.44,False,1.19562161702,0.197676107347,9.51483490259e-06
P53950,0.582188747441,50|VAC7_YEAST Vacuolar segregation protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAC7 PE=1 SV=1,1184,vacuole membrane,1.0,False,2.9109437372,4.59540984647,0.000221192973626
P53951,17.1968925369,51|COG5_YEAST Conserved oligomeric Golgi complex subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG5 PE=1 SV=1,409,nucleus,0.73,False,85.9844626845,46.8901936506,0.00225698723596
P35201,6.84747910643,01|MIF2_YEAST Protein MIF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIF2 PE=1 SV=1,558,nucleus,1.0,False,34.2373955321,25.4726222759,0.00122608543209
P53953,30.3870392448,53|SFB2_YEAST SED5-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFB2 PE=1 SV=1,890,nucleus,0.64,False,151.935196224,180.296432852,0.00867829104458
P53954,26.0368004864,54|ALG11_YEAST GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG11 PE=1 SV=1,557,endoplasmic reticulum membrane,1.0,False,130.184002432,96.6833191396,0.00465370262392
Q05029,60.6768681399,29|BCH1_YEAST Protein BCH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCH1 PE=1 SV=1,736,nucleus,0.45,False,303.3843407,297.72116634,0.0143303496955
Q12284,9.10228142361,84|ERV2_YEAST FAD-linked sulfhydryl oxidase ERV2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERV2 PE=1 SV=1,199,endoplasmic reticulum membrane,1.0,False,45.5114071181,12.0756933553,0.000581244896777
P53957,0.693096230085,57|YNE3_YEAST Putative uncharacterized protein YNL043C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL043C PE=5 SV=1,107,secreted,0.1,False,3.46548115043,0.494408644128,2.37975984373e-05
Q05024,6.74262352194,24|TRI1_YEAST Protein TRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRI1 PE=1 SV=1,229,nucleus,0.27,False,33.7131176097,10.2937385768,0.000495473248656
P53959,27.3637467853,59|COG6_YEAST Conserved oligomeric Golgi complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG6 PE=1 SV=1,852,nucleus,0.83,False,136.818733926,155.42608174,0.00748119500714
Q05027,70.5083057451,27|TAF9_YEAST Transcription initiation factor TFIID subunit 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF9 PE=1 SV=1,159,nucleus,1.0,False,352.541528725,74.7388040898,0.00359743719802
Q08229,33.2510765593,29|NBA1_YEAST Protein NBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBA1 PE=1 SV=1,509,nucleus,0.88,False,166.255382796,112.831986458,0.00543099384789
P36121,39.2186046929,21|RPC5_YEAST DNA-directed RNA polymerase III subunit RPC5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC37 PE=1 SV=1,286,nucleus,1.0,False,196.093023465,74.7768062812,0.00359926637497
Q05022,226.70675604,22|RRP5_YEAST rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP5 PE=1 SV=1,1757,nucleus,1.0,False,1133.5337802,2655.49180241,0.127818007063
P11632,437.710851193,32|NHP6A_YEAST Non-histone chromosomal protein 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHP6A PE=1 SV=1,94,nucleus,1.0,False,2188.55425597,274.298800081,0.0132029501783
P32568,103.068327659,68|SNQ2_YEAST Protein SNQ2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNQ2 PE=1 SV=2,1526,plasma membrane,0.33,False,515.341638293,1048.54845338,0.0504702644906
P41821,2.8095471249,21|MID1_YEAST Stretch-activated cation channel MID1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MID1 PE=1 SV=1,557,secreted,0.6,False,14.0477356245,10.4327849905,0.000502166033572
P47079,194.264291827,79|TCPQ_YEAST T-complex protein 1 subunit theta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT8 PE=1 SV=1,577,cytoplasm,0.34,False,971.321459133,747.269975893,0.0359686891031
P53178,11.4056312319,78|ALG13_YEAST UDP-N-acetylglucosamine transferase subunit ALG13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG13 PE=1 SV=1,205,endoplasmic reticulum,1.0,False,57.0281561595,15.5876960169,0.000750289734573
P48235,6.8669624334,35|ECL1_YEAST Extender of the chronological lifespan protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECL1 PE=1 SV=1,214,nucleus,0.6,False,34.334812167,9.79686640498,0.000471557072107
P53177,3.86928231447,77|TYW3_YEAST tRNA wybutosine-synthesizing protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYW3 PE=1 SV=1,277,nucleus,0.69,False,19.3464115724,7.14527467406,0.000343926788977
P53174,6.47704786085,74|PRM8_YEAST Pheromone-regulated membrane protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRM8 PE=1 SV=1,240,plasma membrane,0.71,False,32.3852393042,10.3632765774,0.000498820353187
Q04002,2.26809226671,02|SCC2_YEAST Sister chromatid cohesion protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCC2 PE=1 SV=1,1517,nucleus,1.0,False,11.3404613335,22.937973124,0.00110408399985
P53172,82.9652532682,72|SDS23_YEAST Protein SDS23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDS23 PE=1 SV=2,535,cytoplasm,0.54,False,414.826266341,295.909403323,0.0142431432738
P53173,213.73975421,73|ERV14_YEAST ER-derived vesicles protein ERV14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERV14 PE=1 SV=3,140,endoplasmic reticulum membrane,0.22,False,1068.69877105,199.490437263,0.00960216487806
Q04007,5.1817209877,07|YDR86_YEAST Uncharacterized protein YDR186C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR186C PE=1 SV=1,891,cytoplasm,1.0,False,25.9086049385,30.779422667,0.00148152009367
P53171,3.14412937047,71|GEP7_YEAST Genetic interactor of prohibitin 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEP7 PE=1 SV=1,291,mitochondrion membrane,1.0,False,15.7206468523,6.09961097871,0.00029359537787
Q04399,0.54008048331,99|GMC1_YEAST Putative multicopper oxidase GMC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GMC1 PE=1 SV=1,618,secreted,0.21,False,2.70040241655,2.22513159124,0.000107103281278
P53883,162.055073585,83|NOP13_YEAST Nucleolar protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP13 PE=1 SV=2,409,nucleus,1.0,False,810.275367923,441.870167307,0.0212687397922
P53880,2.83173922185,80|YNR9_YEAST Putative uncharacterized protein YNL179C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL179C PE=5 SV=1,147,mitochondrion membrane,0.36,False,14.1586961093,2.77510443742,0.000133575376983
P53881,26.1402450756,81|RM22_YEAST 54S ribosomal protein L22, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL22 PE=1 SV=2,314,mitochondrion,1.0,False,130.701225378,54.7202463582,0.00263387476066
Q07844,27.9102192351,44|RIX7_YEAST Ribosome biogenesis ATPase RIX7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIX7 PE=1 SV=1,850,nucleus,1.0,False,139.551096175,158.157908999,0.00761268730379
P21576,254.134311229,76|VPS1_YEAST Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,715,cytoplasm,1.0,False,1270.67155614,1211.37355019,0.0583075996898
P49954,39.8971792894,54|NIT3_YEAST Probable hydrolase NIT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIT3 PE=1 SV=1,295,cytoplasm,0.39,False,199.485896447,78.4644526024,0.00377676554974
P87270,0.487420991183,70|YD442_YEAST Putative uncharacterized protein YDR442W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR442W PE=5 SV=1,132,secreted,0.32,False,2.43710495592,0.428930472241,2.06459075041e-05
P87271,1.55945333892,71|YD455_YEAST Putative uncharacterized protein YDR455C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR455C PE=5 SV=1,103,secreted,0.68,False,7.79726669461,1.07082462606,5.15424937456e-05
P05375,127.539289549,75|PEM2_YEAST Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OPI3 PE=1 SV=1,209,endoplasmic reticulum membrane,0.38,False,637.696447745,177.704743438,0.00855354406719
P05374,100.410133618,74|CHO2_YEAST Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHO2 PE=1 SV=1,883,endoplasmic reticulum membrane,0.76,False,502.050668088,591.080986563,0.0284507727144
P05373,150.580190975,73|HEM2_YEAST Delta-aminolevulinic acid dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM2 PE=1 SV=2,347,chloroplast,0.24,False,752.900954874,348.342175122,0.0167669139704
P87275,2.68621254362,75|AIM11_YEAST Altered inheritance of mitochondria protein 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM11 PE=1 SV=2,139,mitochondrion membrane,0.34,False,13.4310627181,2.48922362376,0.000119814944424
Q04396,10.0623854082,96|LPP1_YEAST Lipid phosphate phosphatase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LPP1 PE=1 SV=1,278,golgi apparatus membrane,1.0,False,50.3119270412,18.6489542899,0.000897638685606
P39073,7.81795493578,73|SSN3_YEAST Meiotic mRNA stability protein kinase SSN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSN3 PE=1 SV=3,564,nucleus,0.31,False,39.0897746789,29.3955105585,0.00141490761628
O14455,1699.37968305,55|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL36B PE=1 SV=3,101,cytoplasm,1.0,False,8496.89841525,1144.24898659,0.0550766622277
P43579,41.2567791468,79|IES1_YEAST Ino eighty subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES1 PE=1 SV=1,703,nucleus,1.0,False,206.283895734,193.356771601,0.0093069303305
P43578,0.403875594456,78|YFB5_YEAST Putative uncharacterized protein YFL015C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFL015C PE=5 SV=1,166,secreted,0.26,False,2.01937797228,0.446955657865,2.15135220459e-05
P21771,8.02580668349,71|RT28_YEAST 37S ribosomal protein S28, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS28 PE=1 SV=1,290,mitochondrion,1.0,False,40.1290334174,15.5165595881,0.000746865692157
P39076,119.228197474,76|TCPB_YEAST T-complex protein 1 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT2 PE=1 SV=1,535,cytoplasm,1.0,False,596.140987371,425.247237658,0.0204686206816
Q03799,10.0544649845,99|RT08_YEAST 37S ribosomal protein S8, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPS8 PE=1 SV=1,157,mitochondrion,1.0,False,50.2723249225,10.5236733505,0.000506540804765
P08679,45.053714418,79|CISY2_YEAST Citrate synthase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT2 PE=1 SV=1,467,peroxisome,1.0,False,225.26857209,140.267230888,0.00675154707393
P43572,4.68415610685,72|EPL1_YEAST Enhancer of polycomb-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EPL1 PE=1 SV=1,845,nucleus,1.0,False,23.4207805342,26.3874127352,0.0012701174616
P39079,118.403191893,79|TCPZ_YEAST T-complex protein 1 subunit zeta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT6 PE=1 SV=1,555,cytoplasm,1.0,False,592.015959463,438.091810003,0.021086874384
P39078,247.170540284,78|TCPD_YEAST T-complex protein 1 subunit delta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT4 PE=1 SV=2,536,cytoplasm,1.0,False,1235.85270142,883.222730614,0.0425125655133
P43577,11.8708176182,77|GNA1_YEAST Glucosamine 6-phosphate N-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GNA1 PE=1 SV=1,161,nucleus,0.28,False,59.3540880911,12.7413442436,0.000613284976831
P53892,0.900181327902,92|IBD2_YEAST Protein IBD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IBD2 PE=1 SV=1,356,cytoplasm,1.0,False,4.50090663951,2.13643035156,0.000102833783752
P43575,2.0085796738,75|PAU5_YEAST Seripauperin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAU5 PE=2 SV=1,124,secreted,0.19,False,10.042898369,1.66042586368,7.99220410241e-05
P43574,12.8509917885,74|GAT1_YEAST Transcriptional regulatory protein GAT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAT1 PE=1 SV=1,518,nucleus,0.24,False,64.2549589424,44.3787583096,0.00213610316474
P43605,4.42707818617,05|ECO1_YEAST N-acetyltransferase ECO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECO1 PE=1 SV=1,285,nucleus,1.0,False,22.1353909308,8.41144855371,0.000404872118104
P43604,2.24538592535,04|ULI1_YEAST Unfolded protein response-inducible protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ULI1 PE=1 SV=1,171,secreted,0.49,False,11.2269296267,2.5597399549,0.000123209139391
P43607,0.319614886841,07|RRT5_YEAST Regulator of rDNA transcription protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRT5 PE=1 SV=1,293,nucleus,0.21,False,1.5980744342,0.624314412295,3.00504124652e-05
P46982,83.134318933,82|MNN5_YEAST Alpha-1,2-mannosyltransferase MNN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN5 PE=1 SV=2,595,golgi apparatus,1.0,False,415.671594665,329.766131768,0.0158727847404
P43601,15.3215173918,01|ATG18_YEAST Autophagy-related protein 18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG18 PE=1 SV=1,508,nucleus,0.51,False,76.6075869591,51.8888722336,0.00249759092897
P46984,12.1377910089,84|GON7_YEAST EKC/KEOPS complex subunit GON7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GON7 PE=1 SV=1,125,nucleus,0.73,False,60.6889550445,10.1148258407,0.000486861559724
P43603,74.6844734163,03|LSB3_YEAST LAS seventeen-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB3 PE=1 SV=3,466,cytoplasm,1.0,False,373.422367081,232.01976408,0.0111679139122
P43602,0.158318899447,02|ROG3_YEAST Protein ROG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ROG3 PE=1 SV=1,745,cytoplasm,0.11,False,0.791594497234,0.786317200586,3.78481671106e-05
P46989,56.4563101404,89|ATG27_YEAST Autophagy-related protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG27 PE=1 SV=2,275,endoplasmic reticulum membrane,0.17,False,282.281550702,103.503235257,0.00498196878002
P47076,22.8795577541,76|RPC9_YEAST DNA-directed RNA polymerase III subunit RPC9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC17 PE=1 SV=2,163,nucleus,1.0,False,114.397788771,24.8624527595,0.0011967158624
P42222,7.744675153,22|ERR3_YEAST Enolase-related protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERR3 PE=3 SV=2,444,cytoplasm,0.6,False,38.723375765,22.9242384529,0.00110342290262
P42223,0.690117610387,23|SBE2_YEAST Protein SBE2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBE2 PE=1 SV=2,878,golgi apparatus,1.0,False,3.45058805194,4.0394884128,0.000194434551826
P43609,152.023853073,09|RSC8_YEAST Chromatin structure-remodeling complex protein RSC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC8 PE=1 SV=1,566,nucleus,1.0,False,760.119265367,573.636672264,0.027611117519
Q12403,53.6213663544,03|ERP3_YEAST Protein ERP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP3 PE=1 SV=1,228,endoplasmic reticulum membrane,0.99,False,268.106831772,81.5044768586,0.00392309243408
P43595,0.297729430538,95|DCV1_YEAST Protein DCV1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCV1 PE=4 SV=1,205,plasma membrane,0.17,False,1.48864715269,0.406896888401,1.95853548892e-05
P43594,67.1831947436,94|AIM13_YEAST Altered inheritance of mitochondria protein 13, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM13 PE=1 SV=1,172,cytoplasm,0.41,False,335.915973718,77.0367299726,0.00370804432039
P43597,52.4292126868,97|YFI6_YEAST Uncharacterized protein YFR016C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR016C PE=1 SV=1,1253,cytoplasm,0.13,False,262.146063434,437.958689977,0.0210804668567
P43596,25.1102713862,96|IOC3_YEAST ISWI one complex protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IOC3 PE=1 SV=1,800,nucleus,1.0,False,125.551356931,133.921447393,0.00644610256122
P43591,0.657262066385,91|YFH7_YEAST ATP-dependent kinase YFH7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFH7 PE=1 SV=1,358,cytoplasm,0.23,False,3.28631033193,1.56866546511,7.55052955979e-05
P43590,54.7363029536,90|YFH6_YEAST Uncharacterized peptidase YFR006W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR006W PE=1 SV=1,543,mitochondrion,0.17,False,273.681514768,198.145416692,0.00953742438493
P43593,101.026871239,93|UBP6_YEAST Ubiquitin carboxyl-terminal hydrolase 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP6 PE=1 SV=1,507,nucleus,0.29,False,505.134356193,341.470824786,0.0164361721075
P43592,1.0516083205,92|FAR7_YEAST Factor arrest protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAR7 PE=1 SV=1,224,nucleus,0.74,False,5.25804160248,1.57040175861,7.55888694108e-05
P53312,121.794505362,12|SUCB_YEAST Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC2 PE=1 SV=1,434,mitochondrion,0.38,False,608.972526808,352.39210218,0.0169618509703
Q12316,9.10204775744,16|YG13B_YEAST Transposon Ty1-GR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-GR3 PE=3 SV=3,1784,cytoplasm,0.97,False,45.5102387872,108.253687995,0.00521062450437
P53310,2.14884716524,10|YG55_YEAST Putative uncharacterized protein YGR242W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR242W PE=5 SV=1,103,secreted,0.76,False,10.7442358262,1.47554172013,7.10229275928e-05
P53311,25.4090390286,11|MPC3_YEAST Mitochondrial pyruvate carrier 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP43 PE=1 SV=1,148,mitochondrion membrane,1.0,False,127.045195143,25.0702518416,0.0012067179511
P43599,2.47848619954,99|YFI8_YEAST Uncharacterized protein YFR018C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR018C PE=1 SV=1,369,secreted,0.27,False,12.3924309977,6.09707605086,0.000293473363023
P43598,32.0673927499,98|IGD1_YEAST Inhibitor of glycogen debranching 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IGD1 PE=1 SV=1,198,cytoplasm,1.0,False,160.33696375,42.3289584299,0.0020374392053
P08417,196.239749195,17|FUMH_YEAST Fumarate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUM1 PE=1 SV=2,496,mitochondrion,0.63,False,981.198745973,648.899437337,0.0312337747718
P53315,38.9983764865,15|SOL4_YEAST 6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOL4 PE=1 SV=1,259,cytoplasm,0.28,False,194.991882432,67.3371967334,0.00324117223027
P38243,0.832877311153,43|YBS1_YEAST Uncharacterized protein YBR071W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR071W PE=1 SV=1,214,nucleus,0.86,False,4.16438655577,1.18823829725,5.71940199296e-05
P53088,14.8884776832,88|CTU1_YEAST Cytoplasmic tRNA 2-thiolation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCS6 PE=1 SV=3,364,cytoplasm,0.57,False,74.4423884158,36.1293725111,0.0017390316877
P53089,1.07226478226,89|YGV4_YEAST Uncharacterized protein YGL204C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL204C PE=4 SV=1,102,secreted,0.67,False,5.36132391129,0.729140051936,3.5096033143e-05
P53279,1.06035793361,79|FHN1_YEAST Non-classical export protein 2 homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FHN1 PE=1 SV=1,176,plasma membrane,0.52,False,5.30178966803,1.24415330876,5.98854028708e-05
